Credit Score,Finance Type,LTV,Binded GAP
611,Purchase,1.127,0.8
611,Purchase,1.242,0
611,Refi,1.065,0.64
611,Refi,1.101,0
611,Refi,1.000,0.8
611,Refi,1.50707,0.71
611,Purchase,1.052,0.63
611,Refi,1.130,0.81
611,Refi,1.144,0.81
611,Refi,1.192,0.81
611,Refi,1.204,0
611,Refi,1.315,0
611,Refi,1.330,0.75
611,Refi,1.352,0.75
611,Refi,1.368,0.75
611,Refi,1.400,0.75
612,Purchase,0.640,1
612,Purchase,1.429,0.5
612,Refi,0.641,0.75
612,Refi,1.454,0.71
612,Refi,1.485,0.71
612,Purchase,1.015,0.63
612,Purchase,1.057,0
612,Refi,1.307,0.75
612,Refi,1.335,0.75
612,Purchase,1.001,0.33
612,Purchase,1.006,0
612,Purchase,1.382,0.63
612,Purchase,1.117,0.8
612,Purchase,1.134,0.8
612,Purchase,1.173,0.8
612,Refi,1.008,0
612,Refi,1.043,0.64
612,Refi,1.057,0.64
612,Refi,1.089,0
612,Refi,1.432,0
612,Refi,1.436,0.71
612,Refi,1.443,0.71
612,Refi,1.490,0.71
612,Purchase,1.065,0.63
612,Refi,1.127,0.81
612,Refi,1.128,0.81
612,Refi,1.156,0.81
612,Refi,1.201,0
612,Refi,1.234,0
612,Refi,1.298,0.75
612,Refi,1.327,0.75
612,Refi,1.366,0.75
612,Refi,1.371,0.75
612,Refi,1.373,0.75
612,Refi,1.384,0.75
613,Refi,0.474,1
613,Purchase,1.286,0
613,Refi,1.367,0
613,Purchase,1.344,0.63
613,Purchase,1.344,0
613,Purchase,1.143,0.8
613,Refi,0.913,0.8
613,Refi,1.116,0.81
613,Refi,1.153,0.81
613,Refi,1.190,0.81
613,Refi,1.283,0.75
613,Refi,1.335,0.75
613,Refi,1.379,0.75
613,Refi,1.40052,0.75
614,Purchase,0.784,1
614,Refi,1.572,0.6
614,Purchase,1.386,0
614,Purchase,1.142,0
614,Refi,0.909,0.67
614,Purchase,0.952,0
614,Purchase,0.907,0.71
614,Refi,1.050,0
614,Refi,0.964,0.8
614,Refi,1.418,0
614,Purchase,1.042,0.63
614,Purchase,1.084,0
614,Purchase,1.098,0.63
614,Refi,1.156,0.81
614,Refi,1.168,0.81
614,Refi,1.174,0.81
614,Refi,1.233,0.75
614,Refi,1.252,0
614,Refi,1.290,0.75
614,Refi,1.293,0.75
614,Refi,1.319,0.75
614,Refi,1.321,0.75
614,Refi,1.323,0.75
614,Refi,1.343,0.75
614,Refi,1.374,0.75
