Partner,Credit Score,Finance Type,LTV,Average Gross Revenue Binding
Credit Karma,612,Refi,1.442584404,1566.333
Credit Karma,612,Refi,1.156322179,1209.29
Credit Karma,612,Refi,1.298248584,1348.66375
Credit Karma,612,Refi,1.007681273,1527.1
Credit Karma,612,Refi,1.490432,1566.333
Credit Karma,612,Refi,1.056776417,1446.5025
Chrysler Capital Lease,612,Purchase,1.057090204,1312.543333
NerdWallet,612,Refi,1.454260708,1566.333
MyAutoLoan Lease,612,Purchase,1.006082474,1153.232
Credit Karma,612,Refi,1.366187143,1251.7625
Credit Karma,612,Refi,1.48541963,1566.333
Wheels,612,Purchase,1.000626907,1153.232
IFS Marketing Organic Lease,612,Purchase,1.065422733,1312.543333
AVIS,612,Purchase,1.134449123,2292.538
Credit Karma,612,Refi,1.435530141,1566.333
Credit Karma,612,Refi,1.042840816,1446.5025
Credit Karma,612,Refi,1.127021891,1209.29
Credit Karma,612,Refi,1.08888121,1446.5025
Credit Karma,613,Refi,1.283033289,1348.66375
NerdWallet,613,Refi,0.913245878,1527.1
Credit Karma,613,Refi,1.190319298,1209.29
NerdWallet,613,Refi,0.474029032,666.37
Credit Karma,614,Refi,0.963557794,1527.1
Credit Karma,614,Refi,1.251765043,1348.66375
Lending Tree Lease,614,Purchase,1.084150909,1312.543333
Enterprise Fleet Management,614,Purchase,0.952329019,1153.232
Credit Karma,614,Refi,1.373851803,1251.7625
MyAutoLoan Lease,614,Purchase,1.097637984,1312.543333
Wheels,614,Purchase,0.906616495,1063.601667
Element,614,Purchase,0.783606679,1056.366667
Wheels,614,Purchase,1.041768271,1312.543333
Wheels,615,Purchase,0.848387879,1063.601667
Credit Karma,615,Refi,1.197144538,1209.29
IFS Marketing Organic,615,Refi,1.397380255,1251.7625
Credit Karma,615,Refi,1.222888176,1348.66375
AVIS,615,Purchase,1.411442308,2490.39
Credit Karma,615,Refi,1.152679749,1209.29
Credit Karma,615,Refi,0.899695128,743.77
HCA - Hyundai Kia,616,Purchase,0.904991216,1063.601667
Credit Karma,616,Refi,1.373836786,1251.7625
AVIS,616,Purchase,1.161026738,2292.538
Credit Karma,616,Refi,1.287751938,1348.66375
Credit Karma,616,Refi,1.184697378,1209.29
Credit Karma,616,Refi,1.176398606,1209.29
Chrysler Capital Lease,616,Purchase,1.244677419,1952.977143
Credit Karma,616,Refi,1.29743907,1348.66375
Credit Karma,616,Refi,1.421258228,1566.333
Credit Karma,616,Refi,1.390376344,1251.7625
Credit Karma,616,Refi,1.144950212,1209.29
Credit Karma,616,Refi,1.749442857,513.32
Credit Karma,616,Refi,1.217262248,1348.66375
AVIS,616,Purchase,1.157364486,2292.538
IFS,616,Purchase,1.066357775,1312.543333
Chrysler Capital Lease,616,Purchase,1.088074255,1312.543333
AVIS,617,Purchase,0.848718261,1063.601667
HCA - Hyundai Kia,617,Purchase,0.739991241,1056.366667
